date,OT
2024/3/18 21:30,1978.1
2024/3/18 21:45,1812
2024/3/18 22:00,2309.1
2024/3/18 22:15,2484
2024/3/18 22:30,2598
2024/3/18 22:45,2507
2024/3/18 23:00,2634
2024/3/18 23:15,3026
2024/3/18 23:30,2862
2024/3/18 23:45,2293.9
2024/3/19 0:00,1824
2024/3/19 0:15,2721.9
2024/3/19 0:30,2853
2024/3/19 0:45,3502
2024/3/19 1:00,2721.9001
2024/3/19 1:15,3158
2024/3/19 1:30,2783
2024/3/19 1:45,2169
2024/3/19 2:00,2123
2024/3/19 2:15,1618
2024/3/19 2:30,1667
2024/3/19 2:45,1429
2024/3/19 3:00,1710
2024/3/19 3:15,1761.7001
2024/3/19 3:30,1949
2024/3/19 3:45,2367
2024/3/19 4:00,2044
2024/3/19 4:15,1550
2024/3/19 4:30,1719
2024/3/19 4:45,1561
2024/3/19 5:00,1101
2024/3/19 5:15,1603
2024/3/19 5:30,1878
2024/3/19 5:45,2284
2024/3/19 6:00,2193
2024/3/19 6:15,1690
2024/3/19 6:30,2044.9
2024/3/19 6:45,1262
2024/3/19 7:00,1302
2024/3/19 7:15,1366
2024/3/19 7:30,1344
2024/3/19 7:45,1489
2024/3/19 8:00,2041
2024/3/19 8:15,6589
2024/3/19 8:30,6622
2024/3/19 8:45,6542.9
2024/3/19 9:00,6628
2024/3/19 9:15,6635
2024/3/19 9:30,6641
2024/3/19 9:45,6643
2024/3/19 10:00,6616
2024/3/19 10:15,6594.9
2024/3/19 10:30,6627.1
2024/3/19 10:45,6558
2024/3/19 11:00,6594
2024/3/19 11:15,6582
2024/3/19 11:30,6595
2024/3/19 11:45,5494
2024/3/19 12:00,6601
2024/3/19 12:15,6596
2024/3/19 12:30,6597.9
2024/3/19 12:45,6258
2024/3/19 13:00,5097
2024/3/19 13:15,5168.9
2024/3/19 13:30,5236
2024/3/19 13:45,5138
2024/3/19 14:00,5555
2024/3/19 14:15,5786.9
2024/3/19 14:30,6069
2024/3/19 14:45,5253
2024/3/19 15:00,6095
2024/3/19 15:15,5469
2024/3/19 15:30,5546
2024/3/19 15:45,4165
2024/3/19 16:00,5362
2024/3/19 16:15,2685
2024/3/19 16:30,2838
2024/3/19 16:45,2744
2024/3/19 17:00,4514
2024/3/19 17:15,3916
2024/3/19 17:30,1531
2024/3/19 17:45,2941
2024/3/19 18:00,3051
2024/3/19 18:15,3404
2024/3/19 18:30,2458
2024/3/19 18:45,2756
2024/3/19 19:00,3030
2024/3/19 19:15,3143
2024/3/19 19:30,3428
2024/3/19 19:45,2421
2024/3/19 20:00,3054
2024/3/19 20:15,3045
2024/3/19 20:30,4472
2024/3/19 20:45,4639.9
2024/3/19 21:00,3038
2024/3/19 21:15,3049
2024/3/19 21:30,3012
2024/3/19 21:45,2923
2024/3/19 22:00,2418
2024/3/19 22:15,1625
2024/3/19 22:30,1912
2024/3/19 22:45,1854
2024/3/19 23:00,2311
2024/3/19 23:15,2684
2024/3/19 23:30,2738.9
2024/3/19 23:45,2444
2024/3/20 0:00,2106
2024/3/20 0:15,2247.9
2024/3/20 0:30,2088
2024/3/20 0:45,2043
2024/3/20 1:00,2621
2024/3/20 1:15,2661
2024/3/20 1:30,2635
2024/3/20 1:45,2800.1
2024/3/20 2:00,2155
2024/3/20 2:15,2293
2024/3/20 2:30,3585.9
2024/3/20 2:45,3067.9
2024/3/20 3:00,2293
2024/3/20 3:15,2293
2024/3/20 3:30,6594
2024/3/20 3:45,6593.9
2024/3/20 4:00,5922
2024/3/20 4:15,6643.1
2024/3/20 4:30,6637
2024/3/20 4:45,6461
2024/3/20 5:00,6606
2024/3/20 5:15,6546
2024/3/20 5:30,6565
2024/3/20 5:45,6602.1
2024/3/20 6:00,6656.1
2024/3/20 6:15,6615
2024/3/20 6:30,6600
2024/3/20 6:45,6587.1
2024/3/20 7:00,6602
2024/3/20 7:15,6595
2024/3/20 7:30,6574
2024/3/20 7:45,6587
2024/3/20 8:00,6514
2024/3/20 8:15,6552.9
2024/3/20 8:30,6614
2024/3/20 8:45,6439
2024/3/20 9:00,6296.9
2024/3/20 9:15,6125
2024/3/20 9:30,5966.9
2024/3/20 9:45,6009
2024/3/20 10:00,5757
2024/3/20 10:15,5776
2024/3/20 10:30,5784
2024/3/20 10:45,5781
2024/3/20 11:00,5210
2024/3/20 11:15,5428
2024/3/20 11:30,5415
2024/3/20 11:45,5522
2024/3/20 12:00,3919.1
2024/3/20 12:15,3491
2024/3/20 12:30,2877
2024/3/20 12:45,3242
2024/3/20 13:00,2467
2024/3/20 13:15,2260
2024/3/20 13:30,1528
2024/3/20 13:45,1766
2024/3/20 14:00,1641.1
2024/3/20 14:15,2352
2024/3/20 14:30,1793.2
2024/3/20 14:45,1983
2024/3/20 15:00,1528
2024/3/20 15:15,1183
2024/3/20 15:30,109
2024/3/20 15:45,2363
2024/3/20 16:00,1966
2024/3/20 16:15,1482
2024/3/20 16:30,2580.1
2024/3/20 16:45,2008
2024/3/20 17:00,2597
2024/3/20 17:15,3705
2024/3/20 17:30,4903
2024/3/20 17:45,5047
2024/3/20 18:00,4555
2024/3/20 18:15,3668
2024/3/20 18:30,4442
2024/3/20 18:45,3510
2024/3/20 19:00,4868
2024/3/20 19:15,4599
